Kernel,GPU,gridSize,blockSize,nThreads,Length,Iterations,experiments,GFLOPS,totalBytes,AI_HBM_ADD_INT8,AI_HBM_ADD_INT16,AI_HBM_ADD_INT32,AI_HBM_ADD_INT64,AI_HBM_ADD_FP16,AI_HBM_ADD_FP32,AI_HBM_ADD_FP64,AI_HBM_MUL_INT8,AI_HBM_MUL_INT16,AI_HBM_MUL_INT32,AI_HBM_MUL_INT64,AI_HBM_MUL_FP16,AI_HBM_MUL_FP32,AI_HBM_MUL_FP64,AI_HBM_MULADD_INT8,AI_HBM_MULADD_INT16,AI_HBM_MULADD_INT32,AI_HBM_MULADD_INT64,AI_HBM_MULADD_FP16,AI_HBM_MULADD_FP32,AI_HBM_MULADD_FP64,AI_HBM_DIV_INT8,AI_HBM_DIV_INT16,AI_HBM_DIV_INT32,AI_HBM_DIV_INT64,AI_HBM_DIV_FP16,AI_HBM_DIV_FP32,AI_HBM_DIV_FP64,AI_HBM_RSQ_INT8,AI_HBM_RSQ_INT16,AI_HBM_RSQ_INT32,AI_HBM_RSQ_INT64,AI_HBM_RSQ_FP16,AI_HBM_RSQ_FP32,AI_HBM_RSQ_FP64,AverageSec,PERF,STDDEV,CI
Test,MI300A,256,16384,4194304,1073741824,2,10,2.14748,1073741824,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56841,1369.34,13.1762,8.16672
Test,MI300A,256,16384,4194304,1073741824,2,10,2.14748,1073741824,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54738,1387.96,13.7874,8.54551
Test,MI300A,256,16384,4194304,1073741824,2,10,4.29497,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03893,4134.4,40.2129,24.9242
Test,MI300A,256,16384,4194304,1073741824,2,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28751,1668.51,31.0041,19.2166
Test,MI300A,256,16384,4194304,1073741824,2,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1.61112,1333.04,13.0265,8.07391
Test,MI300A,256,16384,4194304,536870912,2,10,1.07374,1073741824,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.044,1029.18,26.8985,16.6719
Test,MI300A,256,16384,4194304,536870912,2,10,1.07374,1073741824,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0041,1069.64,17.4469,10.8137
Test,MI300A,256,16384,4194304,536870912,2,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.585283,3670.53,71.7721,44.4848
Test,MI300A,256,16384,4194304,536870912,2,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.721551,1488.85,33.059,20.4902
Test,MI300A,256,16384,4194304,536870912,2,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.07568,999.097,29.8158,18.48
Test,MI300A,256,16384,4194304,268435456,2,10,0.536871,1073741824,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.719195,746.877,16.7176,10.3617
Test,MI300A,256,16384,4194304,268435456,2,10,0.536871,1073741824,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688279,781.15,29.2929,18.156
Test,MI300A,256,16384,4194304,268435456,2,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.395015,2718.9,42.297,26.216
Test,MI300A,256,16384,4194304,268435456,2,10,0.536871,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.555143,969.442,48.4639,30.0382
Test,MI300A,256,16384,4194304,268435456,2,10,0.536871,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.728963,737.757,30.0679,18.6363
Test,MI300A,256,16384,4194304,134217728,2,10,0.268435,1073741824,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.748771,358.766,9.75504,6.04624
Test,MI300A,256,16384,4194304,134217728,2,10,0.268435,1073741824,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.663779,405.002,15.4173,9.55576
Test,MI300A,256,16384,4194304,134217728,2,10,0.536871,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364551,1474.83,55.744,34.5505
Test,MI300A,256,16384,4194304,134217728,2,10,0.268435,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.429171,627.076,31.793,19.7055
Test,MI300A,256,16384,4194304,134217728,2,10,0.268435,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.745784,361.014,20.0087,12.4015
Test,MI300A,256,16384,4194304,536870912,2,10,1.07374,1073741824,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.572967,1874.91,41.3591,25.6347
Test,MI300A,256,16384,4194304,536870912,2,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.570943,1881.45,38.9661,24.1515
Test,MI300A,256,16384,4194304,536870912,2,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625255,3436.29,77.3818,47.9617
Test,MI300A,256,16384,4194304,536870912,2,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.697467,1540.16,31.9747,19.8181
Test,MI300A,256,16384,4194304,536870912,2,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.05999,1013.16,13.7816,8.54192
Test,MI300A,256,16384,4194304,268435456,2,10,0.536871,1073741824,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357959,1502.03,57.2001,35.453
Test,MI300A,256,16384,4194304,268435456,2,10,0.536871,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.356615,1507.2,51.1117,31.6794
Test,MI300A,256,16384,4194304,268435456,2,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.358579,2998.94,118.451,73.4165
Test,MI300A,256,16384,4194304,268435456,2,10,0.536871,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.557906,1046.18,206.545,128.018
Test,MI300A,256,16384,4194304,268435456,2,10,0.536871,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.715535,751.646,31.2955,19.3971
Test,MI300A,256,16384,4194304,134217728,2,10,0.268435,1073741824,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359195,748.628,31.8206,19.7226
Test,MI300A,256,16384,4194304,134217728,2,10,0.268435,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.357491,751.433,20.3669,12.6235
Test,MI300A,256,16384,4194304,134217728,2,10,0.536871,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359799,1493.25,40.8514,25.3199
Test,MI300A,256,16384,4194304,134217728,2,10,0.268435,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.404605,666.376,44.293,27.4531
Test,MI300A,256,16384,4194304,134217728,2,10,0.268435,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.714799,377.618,28.4111,17.6094
Test,MI300A,256,16384,4194304,1073741824,4,10,4.29497,1073741824,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55851,2756.13,29.1037,18.0387
Test,MI300A,256,16384,4194304,1073741824,4,10,4.29497,1073741824,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55999,2753.5,28.6723,17.7713
Test,MI300A,256,16384,4194304,1073741824,4,10,8.58993,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13254,7693.64,782.661,485.099
Test,MI300A,256,16384,4194304,1073741824,4,10,4.29497,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1.75782,2445.88,78.494,48.6511
Test,MI300A,256,16384,4194304,1073741824,4,10,4.29497,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1.70388,2521.41,42.1367,26.1166
Test,MI300A,256,16384,4194304,536870912,4,10,2.14748,1073741824,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06279,2054.52,223.567,138.568
Test,MI300A,256,16384,4194304,536870912,4,10,2.14748,1073741824,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01088,2124.93,34.171,21.1794
Test,MI300A,256,16384,4194304,536870912,4,10,4.29497,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.622371,6904.67,160.794,99.6612
Test,MI300A,256,16384,4194304,536870912,4,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.960454,2239.53,90.6868,56.2083
Test,MI300A,256,16384,4194304,536870912,4,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1.11944,1918.93,32.653,20.2385
Test,MI300A,256,16384,4194304,268435456,4,10,1.07374,1073741824,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698907,1537.95,49.3495,30.5871
Test,MI300A,256,16384,4194304,268435456,4,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688243,1562.01,53.5531,33.1926
Test,MI300A,256,16384,4194304,268435456,4,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.417307,5149.38,128.588,79.6999
Test,MI300A,256,16384,4194304,268435456,4,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.874935,1232.63,78.9088,48.9082
Test,MI300A,256,16384,4194304,268435456,4,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.741627,1449.67,50.9412,31.5737
Test,MI300A,256,16384,4194304,134217728,4,10,0.536871,1073741824,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.769382,698.392,20.3294,12.6003
Test,MI300A,256,16384,4194304,134217728,4,10,0.536871,1073741824,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669111,804.239,37.9396,23.5152
Test,MI300A,256,16384,4194304,134217728,4,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380731,2825.34,119.79,74.2464
Test,MI300A,256,16384,4194304,134217728,4,10,0.536871,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.579912,928.425,49.3746,30.6027
Test,MI300A,256,16384,4194304,134217728,4,10,0.536871,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.87163,617.684,33.2392,20.6019
Test,MI300A,256,16384,4194304,536870912,4,10,2.14748,1073741824,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.584979,3673.26,90.6366,56.1771
Test,MI300A,256,16384,4194304,536870912,4,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.586407,3663.51,72.3543,44.8457
Test,MI300A,256,16384,4194304,536870912,4,10,4.29497,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.650335,6606.84,131.805,81.6937
Test,MI300A,256,16384,4194304,536870912,4,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0.915295,2350.96,105.975,65.684
Test,MI300A,256,16384,4194304,536870912,4,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1.11171,1933.06,51.0747,31.6564
Test,MI300A,256,16384,4194304,268435456,4,10,1.07374,1073741824,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362383,2966.11,97.0783,60.1697
Test,MI300A,256,16384,4194304,268435456,4,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359419,2990.23,92.2758,57.1931
Test,MI300A,256,16384,4194304,268435456,4,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371547,5785.37,177.923,110.278
Test,MI300A,256,16384,4194304,268435456,4,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.709142,1518.56,81.798,50.6989
Test,MI300A,256,16384,4194304,268435456,4,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.733959,1465.01,54.0758,33.5165
Test,MI300A,256,16384,4194304,134217728,4,10,0.536871,1073741824,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.359543,1495.01,52.3951,32.4748
Test,MI300A,256,16384,4194304,134217728,4,10,0.536871,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355455,1511.95,48.761,30.2224
Test,MI300A,256,16384,4194304,134217728,4,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.364723,2947.66,104.653,64.8649
Test,MI300A,256,16384,4194304,134217728,4,10,0.536871,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.494402,1091.49,75.7013,46.9202
Test,MI300A,256,16384,4194304,134217728,4,10,0.536871,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.676755,795.49,40.9898,25.4058
Test,MI300A,256,16384,4194304,1073741824,8,10,8.58993,1073741824,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70674,5103.53,519.422,321.941
Test,MI300A,256,16384,4194304,1073741824,8,10,8.58993,1073741824,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.59366,5390.63,55.6693,34.5042
Test,MI300A,256,16384,4194304,1073741824,8,10,17.1799,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13496,15140.5,231.975,143.78
Test,MI300A,256,16384,4194304,1073741824,8,10,8.58993,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01057,2856.79,98.1611,60.8409
Test,MI300A,256,16384,4194304,1073741824,8,10,8.58993,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2.00875,4280.97,139.311,86.3458
Test,MI300A,256,16384,4194304,536870912,8,10,4.29497,1073741824,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07453,3999.06,88.4903,54.8468
Test,MI300A,256,16384,4194304,536870912,8,10,4.29497,1073741824,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02801,4179.24,72.7201,45.0724
Test,MI300A,256,16384,4194304,536870912,8,10,8.58993,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.649518,13230.9,278.335,172.514
Test,MI300A,256,16384,4194304,536870912,8,10,4.29497,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1.70509,2539.26,214.941,133.222
Test,MI300A,256,16384,4194304,536870912,8,10,4.29497,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1.2351,3479.85,90.4888,56.0855
Test,MI300A,256,16384,4194304,268435456,8,10,2.14748,1073741824,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.761141,2825.68,107.959,66.9134
Test,MI300A,256,16384,4194304,268435456,8,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.701643,3064.2,102.574,63.5759
Test,MI300A,256,16384,4194304,268435456,8,10,4.29497,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424359,10128.5,273.833,169.723
Test,MI300A,256,16384,4194304,268435456,8,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.58977,1353.06,53.5046,33.1625
Test,MI300A,256,16384,4194304,268435456,8,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0.832406,2582.8,87.7892,54.4123
Test,MI300A,256,16384,4194304,134217728,8,10,1.07374,1073741824,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.781426,1375.31,41.4734,25.7055
Test,MI300A,256,16384,4194304,134217728,8,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687627,1563.37,52.4706,32.5216
Test,MI300A,256,16384,4194304,134217728,8,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.399112,5389.91,222.418,137.856
Test,MI300A,256,16384,4194304,134217728,8,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.982605,1097.41,69.3714,42.9969
Test,MI300A,256,16384,4194304,134217728,8,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.28024,843.42,60.3912,37.4308
Test,MI300A,256,16384,4194304,536870912,8,10,4.29497,1073741824,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629295,6828.14,145.42,90.1325
Test,MI300A,256,16384,4194304,536870912,8,10,4.29497,1073741824,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.627703,6844.63,125.346,77.6905
Test,MI300A,256,16384,4194304,536870912,8,10,8.58993,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696215,12343,242.847,150.518
Test,MI300A,256,16384,4194304,536870912,8,10,4.29497,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1.57907,2723.37,95.9846,59.4919
Test,MI300A,256,16384,4194304,536870912,8,10,4.29497,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.24311,3458.19,102.822,63.7297
Test,MI300A,256,16384,4194304,268435456,8,10,2.14748,1073741824,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375383,5726.14,175.751,108.932
Test,MI300A,256,16384,4194304,268435456,8,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.368639,5834.57,227.823,141.206
Test,MI300A,256,16384,4194304,268435456,8,10,4.29497,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.380939,11303.5,571.082,353.96
Test,MI300A,256,16384,4194304,268435456,8,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1.33206,1659.85,237.689,147.321
Test,MI300A,256,16384,4194304,268435456,8,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.778627,2760.79,86.1329,53.3857
Test,MI300A,256,16384,4194304,134217728,8,10,1.07374,1073741824,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.369607,2908.12,92.8445,57.5456
Test,MI300A,256,16384,4194304,134217728,8,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.361495,2973.52,99.4955,61.6679
Test,MI300A,256,16384,4194304,134217728,8,10,2.14748,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367075,5857.61,205.731,127.514
Test,MI300A,256,16384,4194304,134217728,8,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.768218,1405.78,106.779,66.1821
Test,MI300A,256,16384,4194304,134217728,8,10,1.07374,1073741824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.707783,1520.21,67.8337,42.0438
Test,MI300A,256,16384,4194304,1073741824,16,10,17.1799,1073741824,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6414,10468,120.448,74.6545
Test,MI300A,256,16384,4194304,1073741824,16,10,17.1799,1073741824,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64338,10455.4,120.701,74.8112
